TDWG_name,TDWG_code,TDWG_L2,TDWG_continent,Country,Plants,Ants,Amphibians,Reptiles,Fish,Birds,Mammals,Spiders,GeodAREA,mainl,COASTAL,DistMainl,popdens2000,GDPpcRegion,bio_1_MEAN,bio_12_MEAN,LAT,LON,mean_110_plants,completeness_ants,mean_110_amphs,mean_110_mammals,mean_110_birds
Brasilia_Distrito_Federal,84_BZC_DF,84,America_S,Brazil,130,NA,NA,NA,7,0,7,2,5863.843619,MAINL,0,NA,355.0882896,11171.53,213.7618445,1491.12442,-15.77139677,-47.79044835,60.03302256,NA,0,0.733867566,0
Goias,84_BZC_GO,84,America_S,Brazil,127,5,NA,NA,4,3,7,1,342764.2415,MAINL,0,NA,15.03116817,11171.53,241.000271,1530.253387,-16.00574266,-49.59216032,11.90826859,86.7,1.468088832,2.108302972,5.633136095
Mato_Grosso_do_Sul,84_BZC_MS,84,America_S,Brazil,112,4,NA,NA,2,3,8,1,355795.9765,MAINL,0,NA,5.980685307,7693.31,241.3329002,1389.452818,-20.33582373,-54.83660983,4.174786561,84.7,11.71391385,2.087271727,12.74915864
Mato_Grosso,84_BZC_MT,84,America_S,Brazil,113,6,NA,NA,2,2,7,3,903616.3183,MAINL,0,NA,2.831505826,4385.89,247.7232813,1812.020818,-12.96428624,-55.92252586,5.176286176,87.1,2.718490253,1.262555878,8.067293424
Alagoas,84_BZE_AL,84,America_S,Brazil,72,2,NA,NA,1,2,7,NA,28014.48713,MAINL,1,NA,101.0849367,3309,241.8722117,1068.870466,-9.512672396,-36.62650544,11.36244625,66.2,2.053655425,0.167982141,10.35438093
Bahia,84_BZE_BA,84,America_S,Brazil,179,14,NA,NA,7,3,10,4,560001.0509,MAINL,1,NA,21.0359486,4627,234.6392068,867.8729015,-12.4751082,-41.70392506,13.63599333,100,1.849845548,1.345385485,4.877006645
Ceara,84_BZE_CE,84,America_S,Brazil,108,6,NA,NA,4,2,7,NA,149490.5317,MAINL,1,NA,48.79826192,3871,257.7238114,857.8519826,-5.10290094,-39.62316019,1.750294937,76.3,1.66778663,3.936714483,8.783981868
Fernando_de_Noronha,84_BZE_FN,84,America_S,Brazil,NA,5,NA,NA,NA,0,7,NA,22.07490899,ISL,1,357656.2336,70.25505096,NA,267.5,1352.923077,-3.860703561,-32.42022997,NA,NA,NA,NA,NA
Maranhao,84_BZE_MA,84,America_S,Brazil,82,4,NA,NA,2,2,7,1,326229.2646,MAINL,1,NA,16.96980197,2892,263.9580453,1502.053963,-5.087670998,-45.2884004,2.479904122,64.6,0.113271487,0.566427875,0.130369563
Paraiba,84_BZE_PB,84,America_S,Brazil,102,2,NA,NA,7,2,8,1,56592.72861,MAINL,1,NA,62.03008426,3564,241.5248831,779.7301085,-7.118993779,-36.8229609,4.869696706,60.5,4.213838031,1.33954429,6.297184229
Pernambuco,84_BZE_PE,84,America_S,Brazil,139,5,NA,NA,3,3,7,4,97538.62853,MAINL,1,NA,82.64941245,4547,234.1961591,744.9111585,-8.329462925,-37.99262821,5.208173379,80.3,3.188293005,0.789349559,14.50469317
Piaui,84_BZE_PI,84,America_S,Brazil,72,1,NA,NA,2,2,7,1,252176.7473,MAINL,1,NA,11.46333141,2973,259.8224268,995.7404583,-7.407952849,-42.98506567,1.623668079,NA,0.824735374,0.648402164,1.543008838
Rio_Grande_do_Norte,84_BZE_RN,84,America_S,Brazil,70,1,NA,NA,3,3,7,1,52807.73803,MAINL,1,NA,53.27143511,4289,260.3801903,725.1548035,-5.842243181,-36.6822059,1.095315237,37.3,5.760602643,2.450080567,0.397035127
Sergipe,84_BZE_SE,84,America_S,Brazil,46,3,NA,NA,3,2,8,NA,21476.86283,MAINL,1,NA,78.59490519,4863,244.4659749,983.5113156,-10.58053533,-37.44585369,6.73247215,68.4,7.269604325,1.380316731,6.779675614
Espirito_Santo,84_BZL_ES,84,America_S,Brazil,155,3,NA,NA,3,3,10,1,45783.96942,MAINL,1,NA,61.76291361,9818,228.8595391,1182.600025,-19.57304471,-40.66751565,25.64861723,78.5,20.98529062,8.147701165,17.18480471
Minas_Gerais,84_BZL_MG,84,America_S,Brazil,226,10,NA,NA,13,3,9,3,586707.35,MAINL,0,NA,31.19416123,7534,217.4373544,1259.740872,-18.45197695,-44.67354281,9.706028232,93.5,6.899390407,2.756154224,11.48721539
Rio_de_Janeiro,84_BZL_RJ,84,America_S,Brazil,207,8,NA,NA,17,5,11,7,43936.07597,MAINL,1,NA,317.4855139,10699,215.1438601,1329.44212,-22.19033651,-42.66603589,50.23180669,86.6,18.58579575,3.740798341,20.32659409
Sao_Paulo,84_BZL_SP,84,America_S,Brazil,315,12,NA,NA,12,2,17,9,247739.729,MAINL,1,NA,152.38774,12705,208.1667493,1353.790935,-22.26103654,-48.7218507,6.924609956,95.6,6.699909751,5.780190642,16.62991057
Trindade,84_BZL_TR,84,America_S,Brazil,NA,NA,NA,NA,NA,0,3,NA,10.26790529,ISL,1,976042.0848,0,NA,252,724.1666667,-20.50026543,-30.31835308,NA,NA,NA,NA,NA
Acre,84_BZN_AC,84,America_S,Brazil,75,5,NA,NA,1,2,7,1,152128.1229,MAINL,0,NA,3.864167262,4856,253.7787998,1946.566676,-9.302216249,-70.48182131,14.30534708,76.1,0.379480697,8.319072728,16.67731222
Amazonas,84_BZN_AM,84,America_S,Brazil,111,9,NA,NA,4,4,7,4,1566064.754,MAINL,0,NA,1.84503419,7693.31,262.3207547,2540.671423,-4.18918209,-64.71902655,1.943693945,96.7,2.087727712,1.524591938,5.225156974
Amapa,84_BZN_AP,84,America_S,Brazil,56,NA,NA,NA,2,2,7,2,139479.956,MAINL,1,NA,3.043708432,4385.89,259.7993678,2594.973261,1.448617435,-51.96011137,6.553973731,67.9,1.033429856,1.10011706,1.496562134
Para,84_BZN_PA,84,America_S,Brazil,111,8,NA,NA,3,3,8,6,1235145.635,MAINL,1,NA,4.734636273,7693.31,259.5880516,2140.84781,-4.035678997,-53.12350521,1.757356734,96.6,1.510501057,1.914310022,4.486282061
Roraima,84_BZN_RM,84,America_S,Brazil,42,3,NA,NA,1,2,7,NA,224921.0736,MAINL,0,NA,1.473617863,7693.31,262.0107526,1872.122326,2.069108653,-61.40128747,5.067608811,81,1.571680247,1.860288255,3.955121536
Rondonia,84_BZN_RO,84,America_S,Brazil,32,2,NA,NA,2,2,7,NA,238447.2344,MAINL,0,NA,6.004791058,7693.31,248.2882315,1885.823955,-10.92011687,-62.84391904,3.861970319,85.6,3.905825113,3.695186695,13.34137428
Tocantins,84_BZN_TO,84,America_S,Brazil,35,NA,NA,NA,1,2,7,NA,276472.7622,MAINL,0,NA,4.295086599,11171.53,261.4163283,1679.907816,-10.1180597,-48.32330914,3.172467265,77,0.82044969,0.807439239,0.555852116
Parana,84_BZS_PR,84,America_S,Brazil,238,5,NA,NA,13,3,9,1,198612.9141,MAINL,1,NA,48.68274682,8742,189.7665186,1557.019525,-24.63153311,-51.61969717,7.860616442,79.3,8.70748566,4.608415242,10.42912088
Rio_Grande_do_Sul,84_BZS_RS,84,America_S,Brazil,229,6,NA,NA,10,4,9,9,271231.1515,MAINL,1,NA,37.76260722,9921,185.7884933,1560.606409,-29.7333324,-53.31727159,5.363448343,95.9,5.91461155,2.426664469,14.00126375
